Lease_Number,Production_Date,Product_Code,Mon_Oil_Volume,Mon_Gas_Volume,Operator_Number
374,1/1/2019,O,496,2312,3481
374,1/1/2019,O,5987,2095,3481
374,1/1/2019,O,1715,2101,3481
374,1/1/2019,G,443,5825,3481
374,1/1/2019,O,601,1258,3481
374,1/1/2019,O,490,1200,3481
374,1/1/2019,G,54,1915,3481
375,1/1/2019,O,652,1301,3481
375,1/1/2019,U,0,0,3481
375,1/1/2019,O,1174,1334,3481
375,1/1/2019,O,613,1173,3481
375,1/1/2019,O,0,0,3481
375,1/1/2019,O,530,2248,3481
375,1/1/2019,O,1001,1651,3481
375,1/1/2019,S,0,0,3481
375,1/1/2019,O,1232,1685,3481
375,1/1/2019,O,2863,2039,3481
375,1/1/2019,O,1032,1695,3481
377,1/1/2019,U,0,0,3481
378,1/1/2019,U,0,0,3481
378,1/1/2019,G,0,0,3481
378,1/1/2019,O,5146,1925,3481
379,1/1/2019,U,0,0,3481
384,1/1/2019,O,0,0,3151
384,1/1/2019,O,3536,1617,3151
384,1/1/2019,O,2412,287,3151
384,1/1/2019,G,0,18017,3151
384,1/1/2019,O,5933,4891,3151
384,1/1/2019,O,3705,3487,3151
385,1/1/2019,U,0,0,2375
385,1/1/2019,O,0,0,2375
385,1/1/2019,O,14,232,2375
385,1/1/2019,O,1171,175,2375
385,1/1/2019,G,550,188,2375
385,1/1/2019,O,495,219,2375
385,1/1/2019,O,964,465,2375
385,1/1/2019,O,527,862,2375
385,1/1/2019,O,301,60,2375
385,1/1/2019,O,391,2355,2375
385,1/1/2019,O,7281,1196,2375
385,1/1/2019,G,648,472,2375
385,1/1/2019,G,562,340,2375
385,1/1/2019,O,584,291,2375
385,1/1/2019,O,525,1167,2375
385,1/1/2019,O,653,985,2375
385,1/1/2019,O,389,6014,2375
385,1/1/2019,O,866,490,2375
385,1/1/2019,G,0,0,2375
385,1/1/2019,O,274,6438,2375
385,1/1/2019,O,2587,325,2375
385,1/1/2019,O,3334,1041,2375
385,1/1/2019,O,0,148,2375
385,1/1/2019,O,20,243,2375
385,1/1/2019,O,587,363,2375
386,1/1/2019,O,1936,1037,3481
386,1/1/2019,O,1006,416,3481
386,1/1/2019,U,0,0,3481
386,1/1/2019,O,612,672,3481
386,1/1/2019,O,640,516,3481
386,1/1/2019,O,913,415,3481
386,1/1/2019,O,0,0,3481
386,1/1/2019,O,5377,1268,3481
386,1/1/2019,O,490,334,3481
386,1/1/2019,O,1406,887,3481
386,1/1/2019,G,0,0,3481
386,1/1/2019,O,122,211,3481
386,1/1/2019,O,686,493,3481
386,1/1/2019,O,214,413,3481
386,1/1/2019,O,1532,1249,3481
386,1/1/2019,O,1103,475,3481
386,1/1/2019,O,1399,510,3481
386,1/1/2019,O,1603,752,3481
386,1/1/2019,O,772,721,3481
386,1/1/2019,O,1673,719,3481
387,1/1/2019,O,32826,12608,3481
387,1/1/2019,O,2354,444,3481
387,1/1/2019,O,963,463,3481
387,1/1/2019,U,0,0,3481
387,1/1/2019,O,176,163,3481
387,1/1/2019,O,480,427,3481
387,1/1/2019,O,2450,534,3481
387,1/1/2019,O,4407,607,3481
387,1/1/2019,O,1470,1053,3481
387,1/1/2019,S,0,0,3481
387,1/1/2019,O,603,677,3481
387,1/1/2019,O,2457,1065,3481
387,1/1/2019,O,686,1446,3481
390,1/1/2019,O,0,0,3481
390,1/1/2019,O,922,131,3481
390,1/1/2019,O,459,229,3481
390,1/1/2019,S,0,0,3481
390,1/1/2019,O,402,349,3481
390,1/1/2019,U,0,0,3481
390,1/1/2019,O,1028,316,3481
390,1/1/2019,O,432,275,3481
390,1/1/2019,O,279,303,3481
390,1/1/2019,O,390,271,3481
390,1/1/2019,O,142,103,3481
390,1/1/2019,O,477,271,3481
390,1/1/2019,O,513,229,3481
390,1/1/2019,O,1134,125,3481
391,1/1/2019,G,0,0,3481
392,1/1/2019,O,0,0,3481
392,1/1/2019,U,0,0,3481
392,1/1/2019,O,183,376,3481
392,1/1/2019,O,510,310,3481
392,1/1/2019,O,1556,1107,3481
392,1/1/2019,O,3627,996,3481
392,1/1/2019,O,270,136,3481
419,1/1/2019,O,0,0,2066
419,1/1/2019,O,712,440,2066
419,1/1/2019,O,124,57,2066
419,1/1/2019,S,0,0,2066
419,1/1/2019,O,1719,5,2066
419,1/1/2019,O,877,18,2066
419,1/1/2019,O,479,4,2066
419,1/1/2019,O,8401,516,2066
420,1/1/2019,U,0,0,2066
420,1/1/2019,O,0,0,2066
420,1/1/2019,O,2847,560,2066
421,1/1/2019,U,0,0,3151
421,1/1/2019,G,0,0,3151
421,1/1/2019,O,0,0,3151
422,1/1/2019,G,0,0,3151
422,1/1/2019,U,0,0,2375
422,1/1/2019,G,1024,7815,3151
423,1/1/2019,G,225,0,3295
423,1/1/2019,U,0,0,3295
423,1/1/2019,O,191,691,3295
423,1/1/2019,O,200,0,3295
423,1/1/2019,G,0,0,3295
423,1/1/2019,O,0,0,3295
424,1/1/2019,U,0,0,3295
434,1/1/2019,O,97,118,1284
434,1/1/2019,U,0,0,1284
434,1/1/2019,O,0,0,1284
434,1/1/2019,O,151,87,1284
434,1/1/2019,G,0,738,1284
434,1/1/2019,G,0,255,1284
434,1/1/2019,G,0,0,1284
434,1/1/2019,O,56,73,1284
434,1/1/2019,O,97,48,1284
438,1/1/2019,O,1900,1125,3295
438,1/1/2019,U,0,0,3295
438,1/1/2019,O,0,0,3295
438,1/1/2019,G,0,0,3295
438,1/1/2019,O,992,674,3295
438,1/1/2019,O,606,331,3295
438,1/1/2019,O,1395,593,3295
453,1/1/2019,U,0,0,1284
453,1/1/2019,G,0,0,1284
453,1/1/2019,G,97,93,1284
453,1/1/2019,O,0,59,1284
456,1/1/2019,U,0,0,2628
456,1/1/2019,O,2950,2003,2628
456,1/1/2019,O,1948,4599,2628
457,1/1/2019,U,0,0,2628
457,1/1/2019,O,3562,5223,2628
457,1/1/2019,O,6547,7958,2628
457,1/1/2019,O,1437,5836,2628
457,1/1/2019,O,8497,2687,2628
457,1/1/2019,G,0,0,2628
457,1/1/2019,O,4025,6356,2628
461,1/1/2019,O,0,0,2628
461,1/1/2019,U,0,0,2628
461,1/1/2019,O,20,76,2628
461,1/1/2019,O,202,6837,2628
461,1/1/2019,O,812,162,2628
461,1/1/2019,G,784,2445,2628
462,1/1/2019,U,0,0,2628
462,1/1/2019,G,0,0,2628
462,1/1/2019,O,0,0,2628
463,1/1/2019,O,1838,2523,2628
463,1/1/2019,O,4271,5534,2628
463,1/1/2019,O,802,169,2628
463,1/1/2019,O,1513,286,2628
463,1/1/2019,O,1611,4089,2628
463,1/1/2019,U,0,0,2628
463,1/1/2019,O,0,0,2628
463,1/1/2019,O,7488,7816,2628
464,1/1/2019,U,0,0,2628
464,1/1/2019,O,2888,1826,2628
466,1/1/2019,U,0,0,3295
466,1/1/2019,G,0,0,3295
479,1/1/2019,U,0,0,3295
479,1/1/2019,G,0,0,3295
479,1/1/2019,G,1196,81705,3295
498,1/1/2019,U,0,0,2628
498,1/1/2019,O,0,0,2628
560,1/1/2019,G,22,39721,3288
560,1/1/2019,U,0,0,3288
560,1/1/2019,G,32,27484,3288
560,1/1/2019,G,0,3369,3288
560,1/1/2019,G,84,99503,3288
577,1/1/2019,O,521,25,3059
577,1/1/2019,U,0,0,3059
577,1/1/2019,G,0,0,3059
577,1/1/2019,O,0,0,3059
577,1/1/2019,O,813,392,3059
577,1/1/2019,O,1882,1314,3059
577,1/1/2019,O,248,560,3059
577,1/1/2019,O,1916,147,3059
577,1/1/2019,O,1322,660,3059
577,1/1/2019,O,1467,83,3059
577,1/1/2019,O,4126,1121,3059
577,1/1/2019,O,825,5071,3059
577,1/1/2019,O,75,21,3059
577,1/1/2019,O,23,16,3059
578,1/1/2019,O,0,0,2628
578,1/1/2019,U,0,0,2628
590,1/1/2019,O,2261,1417,1284
590,1/1/2019,U,0,0,1284
590,1/1/2019,G,0,5104,1284
593,1/1/2019,U,0,0,3247
595,1/1/2019,O,692,613,3481
680,1/1/2019,G,0,12587,3520
680,1/1/2019,O,0,0,3520
680,1/1/2019,G,0,0,3520
693,1/1/2019,O,22,6,3368
693,1/1/2019,U,0,0,3368
693,1/1/2019,O,3,2,3368
694,1/1/2019,O,409,50,3368
694,1/1/2019,U,0,0,3368
694,1/1/2019,G,0,276,3368
694,1/1/2019,O,0,0,3368
694,1/1/2019,G,435,38,3368
694,1/1/2019,O,137,46,3368
694,1/1/2019,O,503,44,3368
694,1/1/2019,O,652,48,3368
694,1/1/2019,G,0,0,3368
694,1/1/2019,O,1570,118,3368
694,1/1/2019,G,502,50,3368
694,1/1/2019,O,353,493,3368
694,1/1/2019,O,1166,320,3368
